casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
6439674,"N,N,N-Tributyl-1-hexadecanaminium, Bromide",6439-67-4,6439674,"Tributylhexadecylammonium bromide (N,N,N-tributyl-1-hexadecanaminium bromide)","direct - no simpler parent: quaternary ammonium salt, cation permanently charged",high,
6452739,Oxprenolol hydrochloride;1-[(Propan-2-yl)amino]-3-{2-[(prop-2-en-1-yl)oxy]phenoxy}propan-2-ol--hydrogen chloride (1/1),6452-71-7,6452717,Oxprenolol,HCl salt of organic base -> free base (beta blocker),medium,"Free-base CAS recalled from memory (numerically adjacent to the salt's own CAS 6452-73-9, a common registration pattern for free-base/HCl-salt pairs); recommend confirming before use."
6458135,"Ethyl dimethyl oleyl ammonium bromide;(9Z)-N-Ethyl-N,N-dimethyloctadec-9-en-1-aminium bromide",6458-13-5,6458135,Ethyl dimethyl oleyl ammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
6923224,Monocrotophos;Dimethyl (2E)-4-(methylamino)-4-oxobut-2-en-2-yl phosphate,6923-22-4,6923224,Monocrotophos,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
7173515,"Didecyldimethylammonium chloride;N-Decyl-N,N-dimethyldecan-1-aminium chloride",7173-51-5,7173515,Didecyldimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
7250671,1-(2-Chloroethyl)pyrrolidine hydrochloride;1-(2-Chloroethyl)pyrrolidine--hydrogen chloride (1/1),NA,NA,1-(2-Chloroethyl)pyrrolidine (free base),"HCl salt of organic base -> free base (chloroethyl group is covalent and not removed; only the amine HCl is a separable salt, consistent with the Dimethylaminopropyl chloride hydrochloride precedent in Part 1)",medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
7281041,"Benzyldodecyldimethylammonium bromide;N-Benzyl-N,N-dimethyldodecan-1-aminium bromide",7281-04-1,7281041,Benzyldodecyldimethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
7292162,Propaphos;4-(Methylsulfanyl)phenyl dipropyl phosphate,7292-16-2,7292162,Propaphos,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,
7379353,4-Chloropyridine hydrochloride;4-Chloropyridine--hydrogen chloride (1/1),626-61-9,626619,4-Chloropyridine,HCl salt of organic base -> free base (common heterocyclic building block),high,
7398698,"Dimethyldiallylammonium chloride;N,N-Dimethyl-N-(prop-2-en-1-yl)prop-2-en-1-aminium chloride",7398-69-8,7398698,Dimethyldiallylammonium chloride,direct - no simpler parent: quaternary ammonium salt (DADMAC monomer),high,
7446073,Tellurium oxide,13494-80-9,13494809,Tellurium,"Te oxide -> Te element (metalloid, consistent with general metals/metalloids-collapse-to-element convention)",high,
7446084,Selenium oxide (SeO2),7782-49-2,7782492,Selenium,Se oxide -> Se element,high,
7447407,Potassium chloride (KCl),16887-00-6,16887006,Chloride,K chloride -> chloride ion (major-ion cation treated as spectator; chloride is independently ANZG-relevant and already recognized as a standalone parent ion elsewhere in this lookup),medium,New convention decision for this batch - no exact precedent existed for simple alkali-metal halides prior to this run; flag for reviewer. Alternative reading would resolve to the Potassium element by analogy with the oxide/hydroxide-collapse pattern.
7447418,Lithium chloride;Lithium chloride,16887-00-6,16887006,Chloride,Li chloride -> chloride ion (same reasoning as Potassium chloride above),medium,Same convention flag as Potassium chloride.
7487889,Magnesium sulfate;Magnesium sulfate,14808-79-8,14808798,Sulfate,Mg sulfate -> sulfate ion (documented nutrient-ion convention; major-ion cation treated as spectator),high,
7550358,Lithium bromide,24959-67-9,24959679,Bromide,Li bromide -> bromide ion (same major-ion-spectator reasoning as chloride cases),medium,"Bromide ion CAS recalled from memory, not cross-verified against an existing in-table entry; confirm before use."
7550450,(T-4)-Titanium chloride (TiCl4),7440-32-6,7440326,Titanium,Ti chloride -> Ti element,high,
7558794,Dibasic sodium phosphate;Disodium hydrogen phosphate,14265-44-2,14265442,Phosphate,Na phosphate salt -> phosphate ion (documented nutrient-ion convention),high,
7558807,Monosodium phosphate;Sodium dihydrogen phosphate,14265-44-2,14265442,Phosphate,Na phosphate salt -> phosphate ion (documented nutrient-ion convention),high,
7601549,Trisodium phosphate;Trisodium phosphate,14265-44-2,14265442,Phosphate,Na phosphate salt -> phosphate ion (documented nutrient-ion convention),high,
7631950,(T-4)-Sodium (1:2) molybdate,7439-98-7,7439987,Molybdenum,"Na molybdate -> Mo element (metal oxyanion convention, paralleling the established Sodium vanadate -> Vanadium precedent)",medium,
7632000,Sodium nitrite;Sodium nitrite,14797-65-0,14797650,Nitrite,Na nitrite -> nitrite ion (documented nutrient-ion convention),high,
7632055,Sodium phosphate,14265-44-2,14265442,Phosphate,Na phosphate -> phosphate ion (documented nutrient-ion convention),high,
7647010,Hydrochloric acid;Hydrogen chloride,7647-01-0,7647010,Hydrochloric acid,"direct - no simpler parent: mineral acid, registered/tested for its own acidity (pH) effects, distinct from metal-chloride salt entries",high,
